date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2022-12-19,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,419.8,4198.0,420.35,4203.5,413.19,4131.9,415.33,4153.3
2022-12-19,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,388.06,5820.9,388.71,5830.65,384.03,5760.45,387.22,5808.3
2022-12-19,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,62.4,6240.0,62.8,6280.0,62.0,6200.0,62.15,6215.0
2022-12-20,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,626.65,38225.65,635.5,38765.5,617.55,37670.55,622.6,37978.6
2022-12-20,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.25,51.0,4.38,52.56,4.16,49.92,4.18,50.16
2022-12-20,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,414.93,4149.3,415.33,4153.3,405.49,4054.9,408.07,4080.7
2022-12-20,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,387.27,5809.05,388.16,5822.4,381.44,5721.6,387.07,5806.05
2022-12-20,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,62.1,6210.0,63.2,6320.0,61.9,6190.0,62.85,6285.0
2022-12-21,EQ,NSE,AWL,ADANI WILMAR LIMITED,61.0,230.0,14030.0,625.75,38170.75,630.9,38484.9,580.8,35428.8,588.1,35874.1
2022-12-21,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,4.19,50.28,4.24,50.88,4.0,48.0,4.03,48.36
2022-12-21,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,409.46,4094.6,411.85,4118.5,398.53,3985.3,400.42,4004.2
2022-12-21,EQ,NSE,WIPRO,WIPRO LTD.,15.0,542.67,8140.0,388.46,5826.9,391.55,5873.25,386.22,5793.3,387.87,5818.05
2022-12-21,EQ,NSE,ZOMATO,ZOMATO LIMITED,100.0,94.71,9471.45,63.2,6320.0,63.5,6350.0,60.85,6085.0,61.35,6135.0
